@relation 'aVSDxiangliangdata_0.5_50: -C 11'

@attribute biaoqian1 numeric
@attribute biaoqian2 numeric
@attribute biaoqian3 numeric
@attribute biaoqian4 numeric
@attribute biaoqian5 numeric
@attribute biaoqian6 numeric
@attribute biaoqian7 numeric
@attribute biaoqian8 numeric
@attribute biaoqian9 numeric
@attribute biaoqian10 numeric
@attribute biaoqian11 numeric
@attribute weidu1 numeric
@attribute weidu2 numeric
@attribute weidu3 numeric
@attribute weidu4 numeric
@attribute weidu5 numeric
@attribute weidu6 numeric
@attribute weidu7 numeric
@attribute weidu8 numeric
@attribute weidu9 numeric
@attribute weidu10 numeric
@attribute weidu11 numeric
@attribute weidu12 numeric
@attribute weidu13 numeric
@attribute weidu14 numeric
@attribute weidu15 numeric
@attribute weidu16 numeric
@attribute weidu17 numeric
@attribute weidu18 numeric
@attribute weidu19 numeric
@attribute weidu20 numeric
@attribute weidu21 numeric
@attribute weidu22 numeric
@attribute weidu23 numeric
@attribute weidu24 numeric
@attribute weidu25 numeric
@attribute weidu26 numeric
@attribute weidu27 numeric
@attribute weidu28 numeric
@attribute weidu29 numeric
@attribute weidu30 numeric
@attribute weidu31 numeric
@attribute weidu32 numeric
@attribute weidu33 numeric
@attribute weidu34 numeric
@attribute weidu35 numeric
@attribute weidu36 numeric
@attribute weidu37 numeric
@attribute weidu38 numeric
@attribute weidu39 numeric
@attribute weidu40 numeric
@attribute weidu41 numeric
@attribute weidu42 numeric
@attribute weidu43 numeric
@attribute weidu44 numeric
@attribute weidu45 numeric
@attribute weidu46 numeric
@attribute weidu47 numeric
@attribute weidu48 numeric
@attribute weidu49 numeric
@attribute weidu50 numeric

@data
0,0,0,0,0,0,0,1,0,0,0,3.756479,-0.019766,0.355673,-0.194875,0.0316,0.118197,-0.140582,-0.026595,0.002509,-0.004995,-0.046832,0.152609,0.046308,-0.050779,0.109375,0.016859,-0.098848,-0.006152,-0.070364,-0.023357,0.022713,0.073972,-0.026816,0.086375,0.135233,0.066188,-0.026996,-0.022484,-0.002557,-0.022897,-0.014222,0.068271,0.075176,0.083542,-0.086487,-0.098488,0.05532,0.175228,-0.055082,0.11916,0.071875,-0.161445,-0.0955,-0.054065,0.001784,-0.073567,0.089928,-0.043984,-0.047829,-0.135583
0,0,0,0,0,0,0,0,0,0,1,3.741349,-0.033281,0.054404,0.314462,-0.225464,-0.105991,-0.054405,-0.02375,0.03939,-0.066961,-0.116904,-0.048432,-0.053062,0.197055,-0.154811,0.039929,-0.121584,-0.463821,-0.36284,-0.437864,-0.096477,-0.082469,0.167326,0.069813,-0.116982,-0.185783,0.048082,0.226879,-0.072894,0.318873,-0.232221,0.07514,-0.000649,0.243617,-0.225772,0.138695,-0.151952,-0.008858,0.107244,-0.076102,0.127718,0.052249,-0.29267,0.068673,-0.289871,-0.487321,0.033859,-0.065693,0.136038,0.292546
0,0,0,0,0,0,0,0,0,0,1,3.77761,-0.21581,0.132947,-0.071496,-0.13046,0.030621,-0.065273,-0.01572,0.074241,-0.012017,0.015427,0.079437,-0.003819,0.014584,-0.012979,0.019808,-0.003746,-0.012865,-0.022528,0.001422,0.032077,0.013741,0.012617,0.044306,-0.018153,-0.051457,0.059873,0.040064,0.015781,0.081477,0.028536,0.043568,-0.022406,-0.020875,-0.019792,0.015216,-0.031244,-0.009115,-0.052524,-0.078568,0.004895,0.076973,0.038383,-0.005162,-0.017482,-0.053298,0.01957,-0.008463,-0.00157,0.044917
0,0,0,0,0,0,0,0,1,0,0,3.696325,0.31445,0.084626,-0.129495,-0.493445,-0.220955,-0.323624,0.027787,-0.033681,-0.050644,-0.378547,-0.655139,-0.178544,0.113889,0.019,-0.061941,-0.356058,-0.326272,-0.158232,0.102584,-0.188333,0.143522,-0.037594,-0.010356,-0.136282,0.33394,0.049804,0.134358,-0.300843,-0.667043,0.275266,-0.08002,0.123876,-0.195818,0.014797,-0.102098,0.119627,-0.015631,0.119894,0.084226,0.136943,-0.138878,0.224637,-0.13486,0.144871,0.040596,-0.111231,-0.13849,-0.021437,-0.064316
0,0,0,0,1,0,0,0,0,0,0,3.75193,-0.060064,0.305866,0.063451,-0.147677,-0.076586,-0.283188,-0.008994,-0.02489,0.026337,-0.333157,-0.513897,-0.072493,0.036361,0.070676,-0.145815,-0.223222,-0.124001,0.195451,0.223221,-0.212275,-0.098703,-0.083929,-0.016384,-0.02823,0.038858,-0.033115,-0.182917,-0.086818,-0.135896,0.040225,0.063775,0.095194,-0.125651,0.007241,0.070844,0.011999,-0.048313,0.008171,0.025639,-0.021001,0.02204,0.061632,-0.101394,0.076999,0.15664,0.06471,-0.144349,0.077122,-0.193536
0,0,0,0,0,0,0,0,0,0,1,3.748787,-0.042129,0.185374,0.14704,-0.129818,0.015199,-0.05274,-0.075647,0.098201,-0.023153,-0.024574,0.073692,0.016675,0.161158,-0.206339,0.131537,-0.107617,-0.38194,-0.208405,-0.403605,0.018756,-0.216035,0.182355,0.027402,0.074501,-0.202709,-0.007675,0.128603,-0.039258,0.397164,-0.287071,0.242413,0.010245,0.319896,-0.134322,0.056564,0.01577,0.007598,0.09026,0.114906,0.126733,0.178839,-0.313026,0.052619,-0.197163,-0.51921,-0.033886,-0.141772,0.139633,0.233727
0,0,0,0,0,0,0,0,0,0,1,3.760123,-0.105032,0.232614,0.023081,-0.122789,-0.013343,-0.078081,-0.056277,0.029755,-0.042497,-0.033923,-0.00168,0.006761,0.078064,-0.124136,0.034359,-0.100555,-0.302963,-0.235806,-0.302981,-0.021487,-0.128735,0.12723,0.006015,-0.018483,-0.119313,-0.023959,0.120438,-0.03704,0.276505,-0.188023,0.114827,0.028071,0.208465,-0.166408,0.115247,-0.050328,-0.006113,0.053315,0.02294,0.100554,0.088945,-0.261821,0.067099,-0.190256,-0.378976,0.040752,-0.066359,0.058145,0.220383
0,0,0,0,0,0,0,1,0,0,0,3.741214,0.122049,0.396762,-0.145316,0.04856,0.192396,-0.162941,0.023728,0.033661,0.017782,0.009801,0.1936,-0.056836,0.03369,-0.065969,-0.01221,0.088901,0.02388,0.018521,0.112118,-0.153608,0.110746,-0.011788,0.059672,0.056245,0.027151,-0.018493,-0.019852,-0.059167,-0.010808,0.009971,-0.089645,-0.075891,0.082099,0.033097,-0.07393,-0.001998,-0.122767,0.085772,0.135535,0.101201,-0.062867,0.011345,0.051538,-0.214634,0.077136,-0.14796,-0.138598,0.016762,0.152166
1,0,0,0,0,0,0,0,0,0,0,3.734289,0.144072,0.245406,0.085076,-0.040654,0.226304,-0.375576,0.09039,-0.054194,-0.098335,0.073794,0.201308,-0.010738,0.059473,-0.208158,-0.238554,0.094739,0.02676,-0.049518,0.142221,-0.027019,0.119589,0.035323,-0.007302,0.000871,-0.027225,-0.113751,-0.044396,0.017366,-0.003824,-0.101458,0.10895,-0.123731,-0.021401,0.15985,0.028652,0.172148,0.152047,-0.042705,0.056645,-0.128484,0.070698,-0.127373,-0.105379,0.014612,0.341707,-0.103904,-0.040043,-0.197608,-0.016814
1,0,0,0,0,0,0,0,0,0,0,3.752226,0.028549,0.402016,-0.235887,0.036916,0.1933,-0.077358,-0.011814,-0.070127,-0.016959,-0.088726,0.143814,0.327312,-0.032493,0.112913,-0.104713,-0.17171,-0.06309,-0.064664,-0.051909,0.030602,0.017315,0.042849,0.15821,0.20124,0.097967,-0.003699,-0.026582,0.112689,-0.021289,-0.091305,-0.068323,0.09168,0.10614,-0.049648,-0.031885,-0.001596,0.108705,0.036602,0.137813,-0.007312,0.010813,-0.040168,0.005059,0.004939,-0.095356,0.16944,-0.129658,-0.009772,-0.050609
