name	        path
CID000000005	 8,
CID000000011	 11,
CID000000016	 11,
CID000000019	 9,11,
CID000000020	 5,
CID000000033	 11,
CID000000034	 11,
CID000000038	 8,
CID000000043	 1,
CID000000046	 1,
CID000000048	 5,
CID000000049	 5,8,10,
CID000000051	 1,2,5,6,10,11,
CID000000058	 1,5,
CID000000070	 5,10,
CID000000071	 2,5,
CID000000072	 5,11,
CID000000075	 6,
CID000000085	 5,
CID000000086	 5,11,
CID000000091	 5,
CID000000093	 11,
CID000000096	 1,3,5,11,
CID000000098	 5,
CID000000101	 11,
CID000000104	 11,
CID000000105	 2,5,
CID000000107	 5,
CID000000110	 5,
CID000000111	 4,6,8,
CID000000117	 4,
CID000000118	 5,6,
CID000000119	 1,5,6,8,
CID000000126	 11,
CID000000127	 5,
CID000000128	 5,
CID000000129	 3,
CID000000133	 5,
CID000000134	 5,
CID000000135	 8,11,
CID000000137	 5,8,
CID000000138	 5,
CID000000143	 8,
CID000000155	 4,
CID000000170	 8,
CID000000171	 8,
CID000000173	 8,
CID000000174	 1,11,
CID000000175	 1,2,6,7,9,
CID000000177	 1,2,3,5,6,11,
CID000000180	 1,3,
CID000000186	 1,2,6,
CID000000187	 3,
CID000000190	 4,9,
CID000000196	 11,
CID000000199	 5,
CID000000203	 4,
CID000000215	 5,
CID000000216	 8,
CID000000217	 8,
CID000000218	 8,
CID000000220	 11,
CID000000222	 1,2,4,5,6,
CID000000227	 1,5,10,11,
CID000000239	 1,4,6,8,
CID000000240	 11,
CID000000241	 11,
CID000000242	 1,5,11,
CID000000244	 11,
CID000000247	 5,
CID000000249	 5,
CID000000254	 1,11,
CID000000261	 1,
CID000000263	 1,
CID000000264	 1,
CID000000266	 1,
CID000000273	 5,6,10,
CID000000276	 2,4,
CID000000278	 2,4,5,
CID000000280	 1,2,4,5,11,
CID000000281	 2,11,
CID000000283	 1,2,11,
CID000000289	 1,11,
CID000000296	 5,
CID000000297	 2,6,
CID000000300	 11,
CID000000305	 3,5,
CID000000311	 1,2,5,10,
CID000000321	 8,
CID000000323	 10,
CID000000338	 1,5,9,11,
CID000000339	 6,
CID000000340	 11,
CID000000342	 11,
CID000000355	 9,10,11,
CID000000359	 11,
CID000000362	 11,
CID000000363	 6,
CID000000368	 10,
CID000000370	 11,
CID000000371	 1,
CID000000372	 11,
CID000000378	 11,
CID000000379	 3,
CID000000385	 8,
CID000000397	 5,
CID000000402	 2,5,
CID000000403	 11,
CID000000412	 10,
CID000000428	 5,6,
CID000000434	 8,
CID000000437	 8,11,
CID000000438	 11,
CID000000456	 4,
CID000000457	 8,
CID000000460	 11,
CID000000464	 5,
CID000000472	 5,
CID000000473	 5,10,
CID000000484	 4,
CID000000487	 1,4,5,
CID000000490	 6,
CID000000491	 2,
CID000000500	 5,
CID000000502	 5,
CID000000504	 4,
CID000000511	 8,
CID000000523	 1,5,
CID000000524	 1,
CID000000527	 1,11,
CID000000529	 1,
CID000000530	 8,
CID000000533	 6,
CID000000535	 5,
CID000000540	 2,
CID000000546	 6,
CID000000547	 5,
CID000000558	 5,6,
CID000000559	 5,
CID000000561	 5,
CID000000563	 2,5,
CID000000564	 11,
CID000000568	 1,11,
CID000000569	 1,11,
CID000000584	 11,
CID000000586	 5,
CID000000588	 5,
CID000000597	 4,
CID000000598	 2,
CID000000599	 1,
CID000000602	 6,
CID000000604	 1,
CID000000611	 6,
CID000000618	 1,
CID000000643	 8,
CID000000647	 9,
CID000000649	 4,6,8,
CID000000650	 1,
CID000000652	 8,
CID000000654	 11,
CID000000655	 11,
CID000000666	 8,
CID000000668	 1,2,3,8,
CID000000670	 2,3,
CID000000671	 8,
CID000000673	 5,
CID000000674	 2,
CID000000675	 8,
CID000000679	 2,
CID000000681	 5,10,
