name1,name2,value1,value2,value3
name1,name2,experimental,database,textmining
2335,2331,0,0,315
2336,2330,0,0,258
2336,2335,0,900,798
2337,2331,0,0,179
2337,2335,0,0,386
2337,2336,0,0,453
2339,2333,0,0,359
2341,2333,0,0,188
2341,2337,0,0,176
2343,2333,0,0,0
2344,2333,0,0,313
2345,2330,0,0,174
2345,2336,0,0,425
2345,2340,0,0,291
2346,2333,0,0,151
2348,2333,0,0,231
2348,2341,0,0,152
2351,2337,0,0,424
2351,2342,0,0,416
2352,2333,538,0,0
2354,2343,0,0,500
2355,2331,0,0,155
2355,2332,0,0,191
2355,2340,0,0,206
2355,2346,0,0,195
2355,2354,0,0,167
2356,2333,98,0,108
2356,2341,0,0,102
2356,2346,0,0,263
2356,2352,0,0,388
2357,2330,0,0,502
2358,2332,0,900,130
2358,2341,0,0,345
2358,2343,0,0,71
2358,2350,0,0,218
2358,2356,0,0,311
2358,2357,0,0,177
2360,2340,0,0,447
2360,2345,0,0,571
2360,2346,0,0,0
2361,2332,0,900,357
2361,2352,0,0,388
2361,2358,0,900,55
2362,2350,0,0,377
2363,2332,0,0,411
2363,2356,0,0,189
2363,2361,0,0,450
2366,2334,0,0,195
2366,2357,0,0,198
2366,2362,0,0,264
2366,2364,0,0,167
2367,2353,0,0,198
2368,2332,0,0,343
2368,2346,0,0,311
2368,2355,0,0,171
2368,2356,100,0,191
2368,2361,0,0,373
2368,2363,0,0,197
2369,2349,0,0,141
2369,2353,0,0,209
2370,2341,0,0,254
2370,2344,0,0,154
2370,2346,0,0,172
2370,2352,0,0,300
2370,2356,0,0,598
2370,2358,0,0,455
2371,2368,0,0,317
2372,2362,0,0,174
2372,2369,0,0,154
2374,2351,0,0,170
2374,2356,0,0,149
2374,2358,0,0,327
2374,2370,0,0,130
2375,2371,0,0,189
2375,2373,0,0,125
2377,2333,0,0,165
2377,2344,0,0,165
2377,2355,0,0,225
2377,2362,75,0,382
2377,2370,166,0,146
2377,2372,105,0,326
2378,2341,0,0,317
2378,2346,0,0,356
2378,2368,0,0,150
2378,2369,0,0,253
2378,2370,0,0,415
2378,2374,0,0,357
2379,2347,0,0,218
2379,2352,0,0,171
2379,2359,89,0,181
2379,2377,0,0,145
2380,2356,0,0,102
2380,2358,0,0,369
2380,2364,0,0,201
2380,2370,0,0,159
2380,2374,612,0,10
2380,2378,0,0,325
2381,2333,0,0,195
2381,2338,0,0,0
2381,2356,0,0,156
2381,2363,0,0,65
2381,2371,0,0,0
2381,2374,523,0,48
2382,2334,0,0,175
2382,2362,0,0,345
2382,2366,0,0,382
2383,2333,0,900,88
2384,2330,0,0,0
2384,2345,0,0,159
2385,2368,0,0,211
2385,2372,0,0,0
2386,2349,0,0,167
2386,2352,0,0,189
2386,2356,0,0,190
2386,2357,0,0,169
2386,2358,0,0,181
2386,2370,0,0,223
2387,2333,0,0,328
2387,2344,0,0,289
2387,2346,0,0,316
2387,2348,0,0,106
2387,2356,0,0,435
2387,2370,0,0,107
2387,2381,0,0,214
2388,2333,855,0,21
2388,2339,0,0,359
2388,2344,0,0,313
2388,2348,0,0,186
2388,2356,76,0,108
2388,2377,0,0,165
2388,2381,0,0,107
2388,2383,0,900,88
2388,2387,0,0,313
2389,2372,0,900,413
2389,2377,0,0,351
2390,2333,733,0,38
2390,2339,0,0,359
2390,2344,0,0,313
2390,2348,0,0,186
2390,2356,76,0,108
2390,2377,0,0,165
2390,2381,0,0,107
2390,2383,0,900,88
2390,2387,0,0,313
2391,2355,0,0,226
2391,2368,0,900,56
2391,2371,0,0,296
2391,2372,0,0,290
2391,2378,0,0,163
2392,2333,0,0,230
2392,2366,0,0,181
2392,2367,0,900,130
2392,2370,0,0,265
2392,2376,0,800,0
2392,2377,0,0,219
2392,2387,0,0,65
2392,2388,0,0,192
2392,2390,0,0,187
2393,2353,0,0,414
2394,2331,0,0,174
2394,2334,0,0,214
2394,2335,0,0,574
2394,2336,0,0,579
2394,2337,0,0,435
2394,2362,0,0,266
2394,2366,0,0,412
2394,2382,0,0,472
2395,2346,0,0,212
2395,2355,0,0,197
2395,2362,0,0,179
2395,2373,367,0,0
2395,2377,0,0,251
2395,2379,237,0,201
2396,2332,0,900,391
2396,2333,0,0,126
2396,2346,0,0,190
2396,2348,0,0,184
2396,2352,0,0,158
2396,2356,149,0,135
2396,2358,0,0,245
2396,2361,0,900,216
2396,2363,0,0,321
2396,2368,108,0,674
2396,2370,0,0,420
2396,2374,0,0,116
2396,2378,0,0,181
2396,2381,0,0,204
2396,2386,0,0,200
2396,2387,0,0,387
2396,2388,0,0,103
2396,2390,0,0,103
2396,2391,108,0,400
2397,2359,89,0,156
2397,2363,0,0,165
2397,2365,0,900,0
2397,2369,0,0,212
2397,2377,0,0,145
2397,2379,0,0,114
2397,2395,237,0,420
2398,2346,0,0,74
2398,2359,0,0,174
2398,2360,0,0,72
2398,2368,0,0,197
2398,2396,0,0,213
2399,2333,0,0,117
2399,2341,254,0,414
2399,2352,0,0,205
2399,2370,149,0,81
2399,2374,254,0,295
2399,2380,254,0,357
2399,2390,0,0,550
2400,2359,89,0,146
2400,2363,0,0,167
2400,2365,0,900,0
2400,2369,0,0,219
2400,2377,0,0,145
2400,2379,0,0,105
2400,2395,237,0,407
2400,2397,0,900,9
2401,2386,0,0,156
2402,2331,0,0,155
2402,2354,0,0,302
2402,2362,0,0,216
2402,2366,0,0,242
2402,2379,0,0,172
2402,2382,0,0,242
2402,2394,0,0,254
2402,2396,0,0,206
2403,2343,0,0,223
2403,2352,0,0,504
2403,2356,0,900,838
2403,2370,0,0,155
2403,2382,0,0,166
2403,2383,576,0,313
2403,2386,0,0,184
2403,2396,0,0,217
2404,2333,0,0,107
2404,2341,228,0,235
2404,2344,98,0,123
2404,2348,0,0,200
2404,2356,108,0,435
2404,2363,84,0,0
2404,2370,0,0,206
2404,2374,228,0,224
2404,2380,228,0,226
2404,2381,0,0,96
2404,2386,0,0,158
2404,2387,0,0,193
2404,2396,98,0,335
2404,2399,226,0,45
2405,2346,0,0,440
2405,2355,0,0,338
2405,2368,0,0,300
2405,2392,0,0,224
2405,2394,0,0,193
2405,2396,0,0,357
2406,2354,0,0,211
2406,2359,111,0,146
2406,2377,0,0,145
2406,2379,0,0,161
2406,2395,237,0,201
2406,2397,0,0,171
2406,2400,0,0,161
2406,2402,0,0,165
2407,2344,297,0,106
2407,2368,0,0,165
2407,2369,0,0,165
2407,2374,0,0,188
2407,2378,0,0,242
2407,2396,490,0,151
2408,2355,0,0,196
2408,2368,0,0,165
2408,2391,0,0,163
2408,2396,0,0,169
2409,2333,0,0,112
2409,2341,0,0,264
2409,2346,0,0,286
2409,2352,0,0,157
2409,2356,892,900,701
2409,2370,248,0,752
2409,2374,0,0,156
2409,2378,0,0,286
2409,2380,0,0,241
2409,2386,0,0,89
2409,2387,644,0,355
2409,2388,0,0,112
2409,2390,0,0,112
2409,2396,304,0,435
2409,2399,0,0,177
2409,2403,0,900,232
2409,2404,0,0,225
2410,2345,0,0,153
2411,2332,0,900,0
2411,2354,0,900,145
2411,2355,0,900,167
2411,2359,111,0,210
2411,2361,0,900,0
2411,2377,0,0,145
2411,2379,0,0,147
2411,2395,237,0,210
2411,2397,0,0,202
2411,2400,0,0,196
2411,2402,0,0,265
2411,2405,0,0,284
2412,2335,0,0,155
2413,2369,0,900,89
2414,2331,0,0,417
2414,2336,0,0,213
2414,2340,0,900,628
2414,2342,0,0,0
2414,2345,0,0,459
2415,2337,0,0,150
2415,2342,0,0,188
2415,2351,0,900,23
2416,2333,0,0,147
2416,2341,0,0,582
2416,2346,0,0,198
2416,2348,0,0,230
2416,2355,0,0,214
2416,2356,0,0,266
2416,2357,0,0,352
2416,2358,0,0,465
2416,2368,0,0,211
2416,2369,0,0,234
2416,2370,0,0,362
2416,2374,0,0,608
2416,2378,0,0,826
2416,2380,0,0,597
2416,2381,0,0,165
2416,2387,0,0,235
2416,2388,0,0,147
2416,2390,0,0,147
2416,2391,0,0,204
2416,2395,0,0,181
2416,2396,0,0,544
2416,2399,0,0,402
2416,2404,0,0,401
2416,2407,0,0,158
2416,2409,0,0,346
2417,2331,0,0,230
2417,2345,0,0,236
2417,2360,0,0,447
2417,2414,0,0,471
2418,2358,0,0,300
2418,2366,0,0,185
2418,2368,0,0,237
2418,2370,0,0,206
2418,2382,0,0,181
2418,2384,0,0,175
2418,2391,0,0,206
2418,2392,0,0,195
2418,2394,0,0,187
2418,2396,0,0,474
2419,2360,0,0,159
2419,2366,0,900,243
2419,2370,0,0,152
2419,2380,0,0,154
2419,2387,0,0,0
2420,2343,0,0,225
2420,2360,0,0,0
2420,2375,0,0,207
2420,2376,0,900,664
2421,2330,0,0,167
2421,2340,0,0,242
2421,2346,0,0,167
2421,2356,0,0,225
2421,2357,0,0,197
2421,2370,0,0,281
2421,2371,0,0,245
2421,2387,0,0,346
2421,2392,0,0,224
2421,2396,0,0,309
